Date,Open,High,Low,Close,Volume
15/12/2022 16:00:00,141.11,141.8,136.03,136.5,98931907
16/12/2022 16:00:00,136.69,137.65,133.73,134.51,160156900
19/12/2022 16:00:00,135.11,135.2,131.32,132.37,79592614
20/12/2022 16:00:00,131.39,133.25,129.89,132.3,77432819
21/12/2022 16:00:00,132.98,136.81,132.75,135.45,85927993
22/12/2022 16:00:00,134.35,134.56,130.3,132.23,77852108
23/12/2022 16:00:00,130.92,132.42,129.64,131.86,63814893
27/12/2022 16:00:00,131.38,131.41,128.72,130.03,69007830
28/12/2022 16:00:00,129.67,131.03,125.87,126.04,85438391
29/12/2022 16:00:00,127.99,130.48,127.73,129.61,75703710
30/12/2022 16:00:00,128.41,129.95,127.43,129.93,77034209
03/01/2023 16:00:00,130.28,130.9,124.17,125.07,112117471
04/01/2023 16:00:00,126.89,128.66,125.08,126.36,89113633
05/01/2023 16:00:00,127.13,127.77,124.76,125.02,80962708
06/01/2023 16:00:00,126.01,130.29,124.89,129.62,87754715
09/01/2023 16:00:00,130.47,133.41,129.89,130.15,70790813
10/01/2023 16:00:00,130.26,131.26,128.12,130.73,63896155
11/01/2023 16:00:00,131.25,133.51,130.46,133.49,69458949
12/01/2023 16:00:00,133.88,134.26,131.44,133.41,71379648
13/01/2023 16:00:00,132.03,134.92,131.66,134.76,57809719
17/01/2023 16:00:00,134.83,137.29,134.13,135.94,63646627
18/01/2023 16:00:00,136.82,138.61,135.03,135.21,69672800
19/01/2023 16:00:00,134.08,136.25,133.77,135.27,58280413
20/01/2023 16:00:00,135.28,138.02,134.22,137.87,80223626
23/01/2023 16:00:00,138.12,143.32,137.9,141.11,81760313
24/01/2023 16:00:00,140.31,143.16,140.3,142.53,66435142
25/01/2023 16:00:00,140.89,142.43,138.81,141.86,65799349
26/01/2023 16:00:00,143.17,144.25,141.9,143.96,54105068
27/01/2023 16:00:00,143.16,147.23,143.08,145.93,70555843
30/01/2023 16:00:00,144.96,145.55,142.85,143,64015274
31/01/2023 16:00:00,142.7,144.34,142.28,144.29,65874459
01/02/2023 16:00:00,143.97,146.61,141.32,145.43,77663633
02/02/2023 16:00:00,148.9,151.18,148.17,150.82,118338980
03/02/2023 16:00:00,148.03,157.38,147.83,154.5,154357337
06/02/2023 16:00:00,152.57,153.1,150.78,151.73,69858306
07/02/2023 16:00:00,150.64,155.23,150.64,154.65,83322551
08/02/2023 16:00:00,153.88,154.58,151.17,151.92,64120079
09/02/2023 16:00:00,153.78,154.33,150.42,150.87,56007143
10/02/2023 16:00:00,149.46,151.34,149.22,151.01,57450708
13/02/2023 16:00:00,150.95,154.26,150.92,153.85,62199013
14/02/2023 16:00:00,152.12,153.77,150.86,153.2,61707573
15/02/2023 16:00:00,153.11,155.5,152.88,155.33,65669252
16/02/2023 16:00:00,153.51,156.33,153.35,153.71,68167942
17/02/2023 16:00:00,152.35,153,150.85,152.55,59144118
21/02/2023 16:00:00,150.2,151.3,148.41,148.48,58867230
22/02/2023 16:00:00,148.87,149.95,147.16,148.91,51011305
23/02/2023 16:00:00,150.09,150.34,147.24,149.4,48394249
24/02/2023 16:00:00,147.11,147.19,145.72,146.71,55469606
27/02/2023 16:00:00,147.71,149.17,147.45,147.92,44998470
28/02/2023 16:00:00,147.05,149.08,146.83,147.41,50546998
01/03/2023 16:00:00,146.83,147.23,145.01,145.31,55478991
02/03/2023 16:00:00,144.38,146.71,143.9,145.91,52279761
03/03/2023 16:00:00,148.04,151.11,147.33,151.03,70732297
06/03/2023 16:00:00,153.79,156.3,153.46,153.83,87558028
07/03/2023 16:00:00,153.7,154.03,151.13,151.6,56182028
08/03/2023 16:00:00,152.81,153.47,151.83,152.87,47204791
09/03/2023 16:00:00,153.56,154.54,150.23,150.59,53833582
10/03/2023 16:00:00,150.21,150.94,147.61,148.5,68572400
13/03/2023 16:00:00,147.81,153.14,147.7,150.47,84457122
14/03/2023 16:00:00,151.28,153.4,150.1,152.59,73695893
15/03/2023 16:00:00,151.19,153.25,149.92,152.99,77167866
16/03/2023 16:00:00,152.16,156.46,151.64,155.85,76254419
17/03/2023 16:00:00,156.08,156.74,154.28,155,98944633
20/03/2023 16:00:00,155.07,157.82,154.15,157.4,73641415
21/03/2023 16:00:00,157.32,159.4,156.54,159.28,73938285
22/03/2023 16:00:00,159.3,162.14,157.81,157.83,75701811
23/03/2023 16:00:00,158.83,161.55,157.68,158.93,67622060
24/03/2023 16:00:00,158.86,160.34,157.85,160.25,59256343
27/03/2023 16:00:00,159.94,160.77,157.87,158.28,52390266
28/03/2023 16:00:00,157.97,158.49,155.98,157.65,45992152
29/03/2023 16:00:00,159.37,161.05,159.35,160.77,51305691
30/03/2023 16:00:00,161.53,162.47,161.27,162.36,49501689
31/03/2023 16:00:00,162.44,165,161.91,164.9,68749792
03/04/2023 16:00:00,164.27,166.29,164.22,166.17,56976187
04/04/2023 16:00:00,166.6,166.84,165.11,165.63,46278295
05/04/2023 16:00:00,164.74,165.05,161.8,163.76,51511744
06/04/2023 16:00:00,162.43,164.96,162,164.66,45390123
10/04/2023 16:00:00,161.42,162.03,160.08,162.03,47716882
11/04/2023 16:00:00,162.35,162.36,160.51,160.8,47644217
12/04/2023 16:00:00,161.22,162.06,159.78,160.1,50133062
13/04/2023 16:00:00,161.63,165.8,161.42,165.56,68445649
14/04/2023 16:00:00,164.59,166.32,163.82,165.21,49386480
17/04/2023 16:00:00,165.09,165.39,164.03,165.23,41516217
18/04/2023 16:00:00,166.1,167.41,165.65,166.47,49923008
19/04/2023 16:00:00,165.8,168.16,165.54,167.63,47720166
20/04/2023 16:00:00,166.09,167.87,165.56,166.65,52456377
21/04/2023 16:00:00,165.05,166.45,164.49,165.02,58337341
24/04/2023 16:00:00,165,165.6,163.89,165.33,41949581
25/04/2023 16:00:00,165.19,166.31,163.73,163.77,48714063
26/04/2023 16:00:00,163.06,165.28,162.8,163.76,45498796
27/04/2023 16:00:00,165.19,168.56,165.19,168.41,64902329
28/04/2023 16:00:00,168.49,169.85,167.88,169.68,55275851
01/05/2023 16:00:00,169.28,170.45,168.64,169.59,52472936
02/05/2023 16:00:00,170.09,170.35,167.54,168.54,48425696
03/05/2023 16:00:00,169.5,170.92,167.16,167.45,65136018
04/05/2023 16:00:00,164.89,167.04,164.31,165.79,81235427
05/05/2023 16:00:00,170.98,174.3,170.76,173.57,113453171
08/05/2023 16:00:00,172.48,173.85,172.11,173.5,55962793
09/05/2023 16:00:00,173.05,173.54,171.6,171.77,45326874
10/05/2023 16:00:00,173.02,174.03,171.9,173.56,53724501
11/05/2023 16:00:00,173.85,174.59,172.17,173.75,49514676
12/05/2023 16:00:00,173.62,174.06,171,172.57,45533138
15/05/2023 16:00:00,173.16,173.21,171.47,172.07,37266659
16/05/2023 16:00:00,171.99,173.14,171.8,172.07,42110293
